variable_source_code,value_source_code,source_code_description,target_concept_id,target_concept_name,valid_start_date,valid_end_date,invalid_reason
Biopt_inf_urine_bacterium,1,E.coli,4011683,Escherichia coli,2019-10-22,2099-12-31,
Biopt_inf_urine_bacterium,2,pseudomonas,4211547,Pseudomonas,2019-10-22,2099-12-31,
Biopt_inf_urine_bacterium,3,Enterococci,4101235,Genus Enterococcus,2019-10-22,2099-12-31,
Biopt_inf_urine_bacterium,4,proteus,4196666,Proteus,2019-10-22,2099-12-31,
Biopt_inf_urine_bacterium,5,Staphylococci,4278981,Staphylococcus,2019-10-22,2099-12-31,
Biopt_inf_urine_bacterium,6,Klebsiella,4327473,Klebsiella,2019-10-22,2099-12-31,
Biopt_inf_urine_bacterium,7,other enterobacteria,4242438,Enterobacter,2019-10-22,2099-12-31,
Biopt_inf_urine_bacterium,8,other,9177,Other,2019-10-22,2099-12-31,
Discontinued,Robot radical prostatectomy,Robot radical prostatectomy,46270921,Robot assisted laparoscopic radical prostatectomy,2015-07-31,2099-12-31,
Discontinued,External beam radiotherapy,External beam radiotherapy,4141448,Teleradiotherapy procedure,1970-01-01,2099-12-31,
Discontinued,Watchful waiting,Watchful waiting,4190466,No anti-cancer treatment - watchful waiting,1970-01-01,2099-12-31,
Discontinued,Open radical prostatectomy,Open radical prostatectomy,4096783,Radical prostatectomy,1970-01-01,2099-12-31,
Discontinued,Laparoscopic Radical Prostatectomy,Laparoscopic Radical Prostatectomy,44809585,Laparoscopic radical prostatectomy,2014-04-01,2099-12-31,
Discontinued,Other or unknown treatment,Other or unknown treatment,9177,Other,1970-01-01,2099-12-31,
Discontinued,Brachytherapy Low-dose rate,,Brachytherapy Low-dose rate,4040610,Low dose rate brachytherapy,1970-01-01,2099-12-31,
Discontinued,Lost to FU,Lost to FU,4163894,Lost to follow-up,1970-01-01,2099-12-31,
Discontinued,Died,Died,4306655,Death,1970-01-01,2099-12-31,
Discontinued,Brachytherapy dose rate unknown,Brachytherapy dose rate unknown,40317890,Brachytherapy,1970-01-01,2099-12-31,
Discontinued,Brachytherapy High dose rate,Brachytherapy High dose rate,4038003,High dose rate brachytherapy,1970-01-01,2099-12-31,
Discontinued,LHRH Agonists,LHRH Agonists,4217107,Gonadotropin releasing hormone receptor antagonist,1970-01-01,2099-12-31,
Discontinued,On request,On request,4202313,Request status,1970-01-01,2099-12-31,
Discontinued,Antiandrogens,Antiandrogens,35621899,Androgen receptor antagonist,2018-07-31,2099-12-31,
Discontinued,HIFU,HIFU,4120004,High intensity focused ultrasound,1970-01-01,2099-12-31,
Reason_treatment,Based on protocol advice,Based on protocol advice,44790553,Following protocol,2014-04-01,2099-12-31,
Reason_treatment,Other,Other,9177,Other,1970-01-01,2099-12-31,
Reason_treatment,N/A,N/A,4294169,Not applicable,1970-1-01,2099-12-31,
Reason_treatment,Anxiety,Anxiety,441542,Anxiety,1970-01-01,2099-12-31,
Reason_treatment,Lost to FU,Lost to FU,4163894,Lost to follow-up,1970-01-01,2099-12-31,
Reason_treatment,On request,On request,4202313,Request status,1970-01-01,2099-12-31,
pT,T2c,T2c,4129127,Tumor stage T2c,1970-01-01,2099-12-31,
pT,T3,T3,4032012,T3 category,1970-01-01,2099-12-31,
pT,T2a  (a,b,c),pT,T2a  (a,b,c),4129917,Tumor stage T2a,1970-01-01,2099-12-31,
pT,T2a  (a,b),pT,T2a  (a,b),4129917,Tumor stage T2a,1970-01-01,2099-12-31,
pT,T2b  (a,b,c),T2b  (a,b,c),4127611,Tumor stage T2b,1970-01-01,2099-12-31,
pT,T2b  (a,b),T2b  (a,b),4127611,Tumor stage T2b,1970-01-01,2099-12-31,
pN,9,pNx,4195718,NX category,1970-01-01,2099-12-31,
pN,0,pN0,4266674,N0 category,1970-01-01,2099-12-31,
PN,1,pN1,4203608,N1 category,1970-01-01,2099-12-31,
pM,9,pMx,4098852,MX category,1970-01-01,2099-12-31,
pM,0,pM0,4149726,M0 category,1970-01-01,2099-12-31,
PM,1,pM1,4205430,M1 category,1970-01-01,2099-12-31,
Gleason1_Rad_Prost_Gleason2_Rad_Prost,0,0+0,35934087,Grade Group 1: Gleason score less than or equal to 6,1970-01-01,2099-12-31,
Gleason1_Rad_Prost_Gleason2_Rad_Prost,1,0+1 or 1+0,35934087,Grade Group 1: Gleason score less than or equal to 6,1970-01-01,2099-12-31,
Gleason1_Rad_Prost_Gleason2_Rad_Prost,2,1+1 or 0+2 or 2+0,35934087,Grade Group 1: Gleason score less than or equal to 6,1970-01-01,2099-12-31,
Gleason1_Rad_Prost_Gleason2_Rad_Prost,3,1+2 or 2+1 or 0+3 or 3+0,35934087,Grade Group 1: Gleason score less than or equal to 6,1970-01-01,2099-12-31,
Gleason1_Rad_Prost_Gleason2_Rad_Prost,4,2+2 or 1+3 or 3+1 or 0+4 or 4+0,35934087,Grade Group 1: Gleason score less than or equal to 6,1970-01-01,2099-12-31,
Gleason1_Rad_Prost_Gleason2_Rad_Prost,5,3+2 or 2+3 or 1+4 or 4+1 or 0+5 or 5+0,35934087,Grade Group 1: Gleason score less than or equal to 6,1970-01-01,2099-12-31,
Gleason1_Rad_Prost_Gleason2_Rad_Prost,6,3+3 or 4+2 or 2+4 or 1+5 or 5+1 or 0+6 or 6+0,35934087,Grade Group 1: Gleason score less than or equal to 6,1970-01-01,2099-12-31,
Gleason1_Rad_Prost_Gleason2_Rad_Prost,7,3+4,35930757,Grade Group 2: Gleason score 7|Gleason pattern 3+4,1970-01-01,2099-12-31,
Gleason1_Rad_Prost_Gleason2_Rad_Prost,7,4+3,35929404,Grade Group 3: Gleason score 7|Gleason pattern 4+3,1970-01-01,2099-12-31,
Gleason1_Rad_Prost_Gleason2_Rad_Prost,8,4+4 or 5+3 or 3+5 or 2+6 or 6+2 or 1+7 or 7+1 or 0+8 or 8+0,35921496,Grade Group 4: Gleason score 8,1970-01-01,2099-12-31,
Gleason1_Rad_Prost_Gleason2_Rad_Prost,9,4+5 or 5+4 or 3+6 or 6+3 or 2+7 or 7+2 or 1+8 or 8+1 or 0+9 or 9+0,35928355,Grade Group 5: Gleason score 9 or 10,1970-01-01,2099-12-31,
Gleason1_Rad_Prost_Gleason2_Rad_Prost,10,5+5 or 6+4 or 4+6 or 3+7 or 7+3 or 8+2 or 2+8 or 9+ or 1+9 or 10+0 or 0+10,35928355,Grade Group 5: Gleason score 9 or 10,1970-01-01,2099-12-31,
Pos_surgical_margins,0,no,45881006,All margins negative,1970-01-01,2099-12-31,
Pos_surgical_margins,1,yes,45882793,Margins Involved, NOS,1970-01-01,2099-12-31,
